Code,Name,Close,Location,Industry,List_date,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE1618,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,
000531.SZ,穗恒运Ａ,6.7,广东,公用事业,1994/1/6,0.1196,0.2689,0.8371,0.657,0.9421,1.0157,0.8568,0.2225,0.5076,0.9475,-0.2,0.04,0,1,0.408533333,0.698333333,5.7217,是,1,16.40013055,175.5750191,-0.414988067,57.00%,1.21119109,1.170980653,4425635017,
000532.SZ,华金资本,10.63,广东,电子,1994/1/3,0.1586,0.1401,0.1185,0.1097,0.0916,0.1532,0.12,0.08,0.07,0.12,0,0.1393,0,1,0.139066667,0.117733333,2.2858,是,1,76.43815916,18.91602548,0.181200453,46.71%,0.491206258,4.650450608,3960698827,
000533.SZ,万 家 乐,2.61,广东,电气设备,1994/1/3,-1.4,0.06,0.33,0.18,0.18,0.26,0.1071,0.1,0.19,0.34,0.11,0.2242,0,0,-0.336666667,0.1557,0.8781,-,0,10000,0,-3.162277885,157.88%,1.209046718,2.972326614,1872111360,
000534.SZ,万泽股份,9,广东,房地产,1994/1/10,0.12,0.18,0.15,0.09,0.1,0.31,0.27,0.05,0.05,0.06,0.0754,0.5652,0,1,0.15,0.21,3.1209,是,1,60,40.16018751,-0.285714286,220.83%,-2.328330525,2.883783524,4386723056,
000536.SZ,华映科技,1.82,福建,电子,1993/11/26,-1.7955,0.0741,0.3892,0.195,0.3205,0.4436,0.3941,0.495,0.5091,0.0563,0.05,0.16,0,0,-0.444066667,0.444233333,2.6995,-,0,10000,0,-1.999624822,130.24%,-23.25137939,0.674198926,7357647256,
000537.SZ,广宇发展,6.67,天津,房地产,1993/12/10,1.34,1.29,0.67,0.28,0.55,0.7,0.55,0.55,0.21,0,-0.076,0.091,0,1,1.1,0.6,5.7364,是,1,6.063636364,9.675912276,0.833333333,135.40%,0.50353269,1.162750157,12702391310,
000538.SZ,云南白药,84.59,云南,医药生物,1993/12/15,3.18,3.02,2.8,2.66,2.41,3.34,2.28,1.74,1.33,1.13,0.96,0.7,0,1,3,2.453333333,18.9956,是,1,28.19666667,62.98983586,0.222826087,333.63%,117.2274263,4.453136516,1.12E+11,
000539.SZ,粤电力Ａ,3.55,广东,公用事业,1993/11/26,0.09,0.14,0.18,0.62,0.69,0.71,0.43,0.13,0.28,0.44,0.01,0.25,0,1,0.136666667,0.423333333,4.6145,是,1,25.97560976,66.39457768,-0.677165354,60.09%,0.775504709,0.769314119,21683672862,
000540.SZ,中天金融,3.08,贵州,房地产,1994/2/2,0.2098,0.4452,0.6308,0.6064,1.2197,0.8441,0.3429,0.4106,0.6073,0.8066,0.5712,0.3136,0,1,0.4286,0.532533333,2.4312,是,1,7.186187587,23.87854478,-0.195167752,111.38%,0.146452872,1.2668641,21506131865,
000541.SZ,佛山照明,4.52,广东,电子,1993/11/23,0.2699,0.5819,0.8429,0.042,0.27,0.26,0.41,0.3,0.27,0.2168,0.32,0.91,0,1,0.5649,0.323333333,3.0866,是,1,8.00141618,57.80965342,0.747113402,435.60%,-8.026890091,1.464394479,6856796155,
