Code,Name,Close,Location,Industry,List_date,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE1618,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,市值>500亿,PE<15,流动比例>2,Y6,市净率<1.5,上市超过6年,PB<1.5的沪深300,PE*PB<22.5
000026.SZ,飞亚达Ａ,8.39,广东,轻工制造,1993-06-03,0.419,0.3196,0.2522,0.3099,0.371,0.331,0.295,0.406,0.377,0.281,0.259,0.244,0,1,0.330266667,0.344,5.8579,是,1,25.40371417,47.73243981,-0.039922481,236.63%,4.851847105,1.432253879,3738657356,0,0,1,1,1,1,1,0
000027.SZ,深圳能源,5.45,广东,公用事业,1993-09-03,0.17,0.19,0.34,0.45,0,0,0,0.43,0.64,0.91,0.47,0.79,0,0,0.233333333,0.143333333,5.3159,是,1,23.35714286,28.70004823,0.627906977,71.88%,0.509139753,1.025226208,23866239414,0,0,0,1,1,1,1,0
000028.SZ,国药一致,41.25,广东,医药生物,1993-08-09,2.83,2.47,2.8,2.1,1.9,1.81,1.65,1.15,0.91,0.67,0.537,0.434,0,1,2.7,1.536666667,27.1378,是,1,15.27777778,14.14427942,0.757049892,151.03%,49.93511883,1.520020046,18670617729,0,0,0,1,0,1,0,0
000029.SZ,深深房Ａ,10.97,广东,房地产,1993-09-15,0.4977,0.1829,0.308,0.2977,0.2946,0.2256,0.1056,0.1,0.0838,0.02,0.0189,0.0288,0,1,0.329533333,0.143733333,3.2939,是,1,33.2895003,40.18519752,1.292671614,267.57%,-2.956507042,3.330398616,11097910200,0,0,1,1,0,1,0,0
000030.SZ,富奥股份,4.89,吉林,汽车,1993-09-29,0.49,0.64,0.52,0.39,0.48,0.44,-0.0128,5.0484,3.6934,0.0281,-0.2952,-0.0765,0,1,0.55,1.8252,3.5239,是,1,8.890909091,29.78281504,-0.69866316,168.68%,-13.25777889,1.387667073,8364750753,0,1,0,1,1,1,1,1
000031.SZ,中粮地产,5.22,广东,房地产,1993-10-08,0.77,0.52,0.4,0.4,0.33,0.29,0.28,0.23,0.26,0.21,0.08,0.61,0,1,0.563333333,0.266666667,4.334,是,1,9.266272189,31.09557093,1.1125,134.69%,0.326354444,1.204430088,27049246629,0,1,0,1,1,1,1,1
000032.SZ,深桑达Ａ,18.14,广东,通信,1993-10-28,0.26,0.06,0.14,0.16,0.09,0.04,0.77,0.12,0.123,0.175,0.31,0.449,0,1,0.153333333,0.31,3.3057,是,1,118.3043478,30.88990716,-0.505376344,414.84%,-1.633462493,5.487491303,5375987790,0,0,1,1,0,1,0,0
000034.SZ,神州数码,27.38,广东,计算机,1994-05-09,0.7834,1.1053,0.67,0.06,0.17,0.05,0.01,0.05,1.39,0.37,-0.72,-0.8,0,1,0.8529,0.036666667,5.8731,是,1,32.10223942,32.07146292,22.26090909,97.27%,-0.037382482,4.661933221,10864109909,0,0,0,1,0,1,0,0
000035.SZ,中国天楹,4.99,江苏,公用事业,1994-04-08,0.1602,0.1729,0.1709,0.37,0.35,5.99,-3.37,-0.15,0.31,-0.12,-0.0664,0.79,0,1,0.168,0.823333333,2.3967,-,0,29.70238095,0,-0.795951417,75.82%,0.572210347,2.082029457,16076461382,0,0,0,1,0,1,0,0
000036.SZ,华联控股,4.14,广东,房地产,1994-06-17,0.849,1.177,1.18,0.0612,0.0306,0.071,0.0525,0.0618,0.2053,0.2505,-0.353,-0.34,0,1,1.068666667,0.061766667,4.2183,是,1,3.873986276,70.70632409,16.30167296,226.88%,-5.384290808,0.98143802,5831860718,0,1,1,1,1,1,1,1
000037.SZ,深南电Ａ,11.79,广东,公用事业,1994-07-01,0.03,0.03,2.17,-1.05,-0.55,0.09,0,0,-0.19,0.12,0.02,0.22,0,0,0.743333333,0.03,3.2813,-,0,15.86098655,0,23.77777778,162.95%,10.0211302,3.593088105,6949852732,0,0,0,1,0,1,0,0
000038.SZ,深 大 通,10.24,广东,传媒,1994-08-08,-4.4946,0.6706,0.9278,0.062,-0.51,0.021,0.0216,0.02,0.28,0.22,1.7,0.18,0,0,-0.9654,0.020866667,5.4192,-,0,10000,0,-47.26517572,929.28%,-1.680785973,1.889577797,6299467899,0,0,1,1,0,1,0,0
000039.SZ,中集集团,7.49,广东,机械设备,1994-04-08,1.1,0.81,0.14,0.71,0.92,0.81,0.73,1.37,1.13,0.36,0.53,1.19,0,1,0.683333333,0.97,12.5,是,1,10.96097561,48.57341567,-0.295532646,114.74%,0.482979602,0.5992,34541553294,0,1,0,1,1,1,1,1
000040.SZ,东旭蓝天,3.05,广东,公用事业,1994-08-08,0.83,0.41,0.19,0.13,0.11,0.22,0.41,0.3,0.21,0.14,-0.24,0.16,0,1,0.476666667,0.31,9.7523,是,1,6.398601399,9.976945441,0.537634409,194.76%,3.557287926,0.312746737,5531170796,0,1,0,1,1,1,1,1
000042.SZ,中洲控股,9.61,广东,房地产,1994-09-21,0.6719,0.9256,0.3959,0.8377,0.6381,1.6934,1.72,1.3325,1.5114,1.1135,0.0283,0.8427,0,1,0.664466667,1.581966667,10.9409,是,1,14.462727,14.88349068,-0.579974294,155.11%,0.418108017,0.878355528,6781277618,0,1,0,1,1,1,1,1
000045.SZ,深纺织Ａ,6.84,广东,电子,1994-08-15,-0.04,0.1,-0.17,0.02,-0.22,0.1,-0.24,0.15,0.14,0.16,0.19,0.05,0,0,-0.036666667,0.003333333,4.642,-,0,10000,0,-12,576.04%,-2.477980616,1.473502801,3616302846,0,0,1,1,1,1,1,0
000046.SZ,泛海控股,3.53,北京,房地产,1994-09-12,0.1791,0.5564,0.6045,0.4433,0.342,0.2592,0.1716,0.0566,0.054,0.177,0.094,0.853,0,1,0.446666667,0.162466667,3.8716,是,1,7.902985075,83.73412,1.749281904,151.19%,0.122266585,0.911767745,21979928775,0,1,0,1,1,1,1,1
000048.SZ,康 达 尔,25.44,广东,农林牧渔,1994-11-01,1.1193,0.7083,0.0153,0.52,0.29,-0.0231,0.0709,1.2361,-0.1207,0.1171,0.0924,0.062,0,0,0.6143,0.427966667,2.5981,是,1,41.4129904,0,0.435392164,0.00%,0,9.79177091,8649547299,0,0,0,1,0,1,0,0
000049.SZ,德赛电池,47.5,广东,电子,1995-03-20,1.9556,1.4643,1.2439,1.1217,1.1428,1.5057,1.0498,0.872,0.5216,-0.2605,0.0114,0.0522,0,1,1.5546,1.1425,8.5286,是,1,30.55448347,12.78394978,0.360700219,111.45%,0.87714994,5.56949558,7709827831,0,0,0,1,0,1,0,0
000050.SZ,深天马Ａ,14.06,广东,电子,1995-03-15,0.4599,0.5761,0.4062,0.4901,0.7116,0.25,0.0948,0.1761,0.1226,-0.3581,0.0163,0.26,0,1,0.480733333,0.173633333,12.6969,是,1,29.24698377,15.49022763,1.76866961,110.40%,3.01303102,1.107356914,31397726372,0,0,0,1,1,1,1,0
000055.SZ,方大集团,4.43,广东,建筑装饰,1996-04-15,1.91,0.97,0.91,0.14,0.13,0.11,0.03,0.09,0.11,0.1,0.05,0.0629,0,1,1.263333333,0.076666667,4.4961,是,1,3.506596306,10.00268817,15.47826087,142.84%,2.767315222,0.98529837,4976591957,0,1,0,1,1,1,1,1
000056.SZ,皇庭国际,3.41,广东,房地产,1996-07-08,0.08,0.15,0.1,0.09,-1.26,10.51,0.08,-0.56,-0.75,0.03,-0.12,0.33,0,0,0.11,3.343333333,4.5609,是,1,31,12.94895225,-0.967098704,175.27%,0.955572953,0.747659453,4724888379,0,0,0,1,1,1,1,0
000058.SZ,深 赛 格,6.35,广东,商业贸易,1996-12-26,0.0225,0.1777,0.1371,0.0946,0.0616,0.0692,0.0581,0.0879,0.0755,-0.3977,0.062,0.08,0,1,0.112433333,0.071733333,1.5117,是,1,56.47791284,155.2736584,0.567379182,148.10%,2.875892008,4.200568896,9143856243,0,0,0,1,0,1,0,0
000059.SZ,华锦股份,4.92,辽宁,化工,1997-01-30,0.63,1.15,1.13,0.21,-1.3216,-0.1293,0.0163,0.7014,0.3437,0.1634,0.3206,0.2,0,0,0.97,0.196133333,8.2369,是,1,5.072164948,37.88823033,3.945615228,74.75%,1.329649065,0.597312096,9228783438,0,1,0,1,1,1,1,1
000060.SZ,中金岭南,3.6,广东,有色金属,1997-01-23,0.26,0.46,0.15,0.09,0.23,0.2,0.21,0.46,0.45,0.4,0.39,1.65,0,1,0.29,0.29,2.8922,是,1,12.4137931,31.04277337,0,128.12%,2.543365453,1.244727197,14207347601,0,1,0,1,1,1,1,1
000061.SZ,农 产 品,7.94,广东,商业贸易,1997-01-10,0.0252,0.0082,0.0521,0.0121,0.0497,0.0666,0.0346,0.2691,0.36,0.11,0.13,0.44,0,1,0.0285,0.123433333,2.9038,是,1,278.5964912,39.67919365,-0.76910613,51.35%,0.426920684,2.734348096,9078758101,0,0,0,1,0,1,0,0
000062.SZ,深圳华强,12.44,广东,电子,1997-01-30,0.9504,0.5716,0.5904,0.5556,0.72,0.618,0.422,0.07,0.29,0.3,0.15,0.38,0,1,0.704133333,0.37,6.4957,是,1,17.6671085,26.30354522,0.903063063,138.95%,1.745340599,1.915113075,13879216703,0,0,0,1,0,1,0,0
000063.SZ,中兴通讯,42.49,广东,通信,1997-11-18,-1.67,1.08,-0.57,0.77,0.77,0.39,-0.83,0.61,1.15,1.35,1.2,1.29,0,0,-0.386666667,0.056666667,5.46,-,0,10000,0,-7.823529412,123.56%,2.671956913,7.782051282,1.30E+11,1,0,0,1,0,1,0,0
000065.SZ,北方国际,7.77,北京,建筑装饰,1998-06-05,0.77,0.97,0.95,0.82,0.73,0.74,0.74,0.45,0.27,0.35,0.22,-0.29,0,1,0.896666667,0.643333333,5.4288,是,1,8.665427509,10.44856284,0.393782383,145.59%,-0.644393716,1.431255526,6125263064,0.00E+00,1,0,1,1,1,1,1
000066.SZ,中国长城,13.35,广东,计算机,1997-06-26,0.336,0.204,0.025,-0.027,0.044,0.022,-0.181,0.076,0.167,0.795,0.021,0.214,0,0,0.188333333,-0.027666667,2.1254,是,1,70.88495575,14.87268131,-7.807228916,147.60%,14.47271855,6.281170603,43483503487,0,0,0,1,0,1,0,0
000068.SZ,华控赛格,3.31,广东,公用事业,1997-06-11,-0.132,0.0324,0.0099,0.007,-0.1208,-0.0415,0.0035,-0.0456,0.0395,-2.1484,0.0231,-0.2443,0,0,-0.0299,-0.027866667,0.5194,-,0,10000,0,0.072966507,69.10%,2.449317183,6.372737774,3845484992,0,0,0,1,0,1,0,0
000069.SZ,华侨城Ａ,6.47,广东,房地产,1997-09-10,1.2907,1.0533,0.8395,0.637,0.6566,0.6062,0.5294,0.568,0.978,0.551,0.35,0.66,0,1,1.061166667,0.567866667,7.2074,是,1,6.097062981,23.24350279,0.868689833,162.13%,1.093690401,0.897688487,56515269199,1,1,0,1,1,1,1,1
000070.SZ,特发信息,9.26,广东,通信,2000-05-11,0.4393,0.4236,0.6245,0.3349,0.2051,0.23,0.19,0.1471,0.251,0.1653,0.1417,0.0442,0,1,0.4958,0.189033333,3.5642,是,1,18.67688584,10.23570215,1.622817845,128.62%,1.873702945,2.59805847,8393521534,0,0,0,1,0,1,0,0
000078.SZ,海王生物,4.2,广东,医药生物,1998-12-18,0.156,0.2427,0.1876,0.6467,0.0325,0.1644,0.0905,0.0805,0.0715,0.0217,0.0372,0.0626,0,1,0.195433333,0.1118,2.2469,是,1,21.49070442,13.3235494,0.748062016,110.36%,0.23873451,1.869242067,8950769753,0,0,0,1,0,1,0,0
000088.SZ,盐 田 港,4.45,广东,交通运输,1997-07-28,0.24,0.21,0.18,0.22,0.23,0.2,0.2111,0.2854,0.3295,0.3696,0.4602,0.5188,0,1,0.21,0.232166667,3.4692,是,1,21.19047619,11.04815239,-0.095477387,291.16%,9.386502262,1.282716476,10429614000,0,0,1,1,1,1,1,0
000089.SZ,深圳机场,7.96,广东,交通运输,1998-04-20,0.3257,0.3225,0.2743,0.2661,0.1584,0.2511,0.28,0.3544,0.4225,0.3402,0.142,0.3302,0,1,0.3075,0.295166667,5.6748,是,1,25.88617886,23.17608216,0.041784303,200.97%,-4.121010543,1.402692606,19359264165,0,0,1,1,1,1,1,0
000090.SZ,天健集团,6.58,广东,房地产,1999-07-21,0.54,0.5,0.37,0.71,0.76,0.6849,0.498,0.445,0.2426,0.1264,-0.3771,0.5692,0,1,0.47,0.542633333,4.8007,是,1,14,45.97567954,-0.133853431,174.06%,0.915029002,1.370633449,9417468987,0,1,0,1,1,1,1,1
000096.SZ,广聚能源,10.93,广东,化工,2000-07-24,0.2,0.28,0.55,0.28,0.08,0.13,0.04,0.18,0.16,0.21,0.25,0.44,0,1,0.343333333,0.116666667,4.6911,是,1,31.83495146,9.802230904,1.942857143,1150.89%,-1.644785249,2.329943936,5565120000,0,0,1,1,0,1,0,0
000099.SZ,中信海直,6.92,广东,交通运输,2000-07-31,0.25,0.15,0.14,0.2795,0.3495,0.3635,0.274,0.2705,0.2396,0.2177,0.1811,0.1654,0,1,0.18,0.302666667,5.0783,是,1,38.44444444,10.0703674,-0.405286344,205.30%,2.377548752,1.362660733,4230371532,0,0,1,1,1,1,1,0
000100.SZ,TCL 集团,4.74,广东,电子,2004-01-30,0.2562,0.2178,0.1312,0.2141,0.3475,0.2481,0.0938,0.1195,0.1243,0.1667,0.1938,0.153,0,1,0.201733333,0.1538,2.2506,是,1,23.49636484,38.55237904,0.311660165,110.86%,0.708294725,2.106105039,51949204681,1,0,0,1,0,1,0,0
000150.SZ,宜华健康,3.76,广东,医药生物,2000-08-07,0.283,0.3893,1.6623,0.12,0.09,0.28,0.01,0.02,0.03,0.31,0.25,0.35,0,1,0.7782,0.103333333,3.8476,是,1,4.831662812,0,6.530967742,71.19%,-0.285150306,0.977232561,4476257541,0,1,0,1,1,1,1,1
000151.SZ,中成股份,8.14,北京,商业贸易,2000-09-06,0.2818,0.2952,0.3408,0.4547,0.3831,0.315,0.148,-0.037,0.027,0.097,0.143,0.136,0,1,0.305933333,0.142,3.3799,是,1,26.60710394,70.96042601,1.154460094,151.90%,-0.763258894,2.408355277,2953880400,0,0,0,1,0,1,0,0
000153.SZ,丰原药业,8.13,安徽,医药生物,2000-09-20,0.1921,0.2091,0.1468,0.1038,0.1313,0.0914,0.0731,0.0381,0.16,0.09,0.0546,0.02,0,1,0.182666667,0.067533333,4.0642,是,1,44.50729927,51.23252743,1.704837117,100.42%,2.390470588,2.000393681,1916547152,0,0,0,1,0,1,0,0
000155.SZ,川化股份,3.9,四川,公用事业,2000-09-26,0.24,0.26,1.85,-1.2,-3.33,-1.35,0.02,-0.44,-0.45,0.18,0.29,0.29,0,0,0.783333333,-0.59,2.5669,-,0,4.978723404,0,-2.327683616,241.14%,3.119334793,1.519342397,4991100000,0,1,1,1,0,1,0,1
000156.SZ,华数传媒,10.17,浙江,传媒,2000-09-06,0.45,0.45,0.42,0.4,0.33,0.22,0.17,0.88,1.55,0.71,0.16,0.06,0,1,0.44,0.423333333,7.4496,是,1,23.11363636,48.9511315,0.039370079,322.37%,-2.370769181,1.365173969,12025822458,0,0,1,1,1,1,1,0
000157.SZ,中联重科,6.9,湖南,机械设备,2000-10-12,0.26,0.17,-0.12,0.01,0.08,0.5,0.95,1.05,0.97,1.418,1.0318,1.7536,0,0,0.103333333,0.833333333,4.8922,是,1,66.77419355,92.34259327,-0.876,253.54%,1.257265162,1.410408405,46817792949,0,0,1,1,1,1,1,0
000158.SZ,常山北明,9.55,河北,计算机,2000-07-24,0.11,0.21,0.28,0.24,0.0338,0.024,0.02,0.08,0.08,0.1,0.17,0.12,0,1,0.2,0.041333333,3.6811,-,0,47.75,0,3.838709677,130.38%,1.081168313,2.594333216,9553617275,0,0,0,1,0,1,0,0
000159.SZ,国际实业,4.8,新疆,化工,2000-09-26,0.1245,-0.1378,0.0732,0.1164,0.2682,0.0739,0.21,0.68,1.35,0.63,0.63,0.3,0,0,0.019966667,0.3213,4.4687,是,1,240.4006678,24.06633551,-0.937856624,224.83%,9.986642391,1.074137892,2807206199,0,0,1,1,1,1,1,0
000166.SZ,申万宏源,4.48,新疆,非银金融,2015-01-26,0.19,0.23,0.27,0.82,0.51,0.28,0.21,0.25,0.44,0.59,0.34,0.89,0,1,0.23,0.246666667,3.0795,是,1,19.47826087,27.0852433,-0.067567568,0.00%,0,1.45478162,1.19E+11,1,0,0,1,1,1,1,0
000301.SZ,东方市场,4.96,江苏,化工,2000-05-29,0.26,0.19,0.121,0.1371,0.18,0.27,0.13,0.09,0.06,0.08,0.14,0.1193,0,1,0.190333333,0.163333333,3.2148,是,1,26.05954466,47.58350643,0.165306122,533.91%,-8.771253574,1.542864253,20185556642,0.00E+00,0,1,1,0,1,0,0
000333.SZ,美的集团,56.33,广东,家用电器,2013-09-18,3.05,2.63,2.28,2.99,2.49,4.33,3.26,0,0,0,0,0,0,1,2.653333333,2.53,12.4676,是,1,21.2298995,42.31962499,0.048748353,142.59%,1.409541534,4.518110944,3.78E+11,1,0,0,1,0,1,0,0
000338.SZ,潍柴动力,14.38,山东,汽车,2007-04-30,1.08,0.85,0.61,0.35,2.51,1.79,1.5,3.36,4.07,4.09,2.32,4.42,0,1,0.846666667,2.216666667,4.9159,是,1,16.98425197,42.26202079,-0.618045113,127.86%,-1.193827559,2.925201896,1.05E+11,1.00E+00,0,0,1,0,1,0,0
000400.SZ,许继电气,14.35,河南,电气设备,1997-04-18,0.198,0.6087,0.8617,0.7147,1.0573,1.0634,0.88,0.4137,0.3877,0.3442,0.101,0.3066,0,1,0.556133333,0.7857,7.691,是,1,25.80316471,24.24097417,-0.29218107,183.45%,-11.89581471,1.865817189,9770691624,0.00E+00,0,0,1,0,1,0,0
000401.SZ,冀东水泥,21.22,河北,建筑材料,1996-06-14,1.101,0.08,0.039,-1.273,0.026,0.256,0.134,1.235,1.153,0.811,0.41,0.382,0,0,0.406666667,0.541666667,8.6065,是,1,52.18032787,36.34026039,-0.249230769,50.64%,0.3868575,2.465578342,20037665731,0,0,0,1,0,1,0,0
000402.SZ,金 融 街,6.64,北京,房地产,1996-06-26,1.09,1.01,0.94,0.75,0.97,0.96,0.75,0.67,0.59,0.55,0.43,0.68,0,1,1.013333333,0.793333333,10.6936,是,1,6.552631579,27.4333652,0.277310924,263.62%,0.53351232,0.620932146,23104428181,0,1,1,1,1,1,1,1
000403.SZ,ST 生 化,39.43,山西,医药生物,1996-06-28,0.2934,0.1405,0.1977,0.28,0.45,0.26,0.15,0.19,0.14,0.01,0.95,0.16,0,1,0.210533333,0.2,2.3396,-,0,187.2862571,0,0.052666667,98.42%,1.439963532,16.85330826,8624355232,0,0,0,1,0,1,0,0
000404.SZ,华意压缩,3.47,江西,家用电器,1996-06-19,0.1037,0.152,0.4508,0.3894,0.3345,0.2985,0.3172,0.0943,0.0588,0.2688,0.0808,0.02,0,1,0.2355,0.236666667,4.5959,是,1,14.73460722,19.29377971,-0.004929577,129.52%,1.262024723,0.755020779,2630864801,0,1,0,1,1,1,1,1
000407.SZ,胜利股份,3.19,山东,公用事业,1996-07-03,0.12,0.07,-0.35,0.04,0.05,0.03,-0.22,0.01,0.5,0.41,0.57,0.06,0,0,-0.053333333,-0.06,2.581,-,0,10000,0,-0.111111111,86.46%,1.598940866,1.235955056,2983486984,0,0,0,1,1,1,1,0
000408.SZ,藏格控股,3.71,青海,化工,1996-06-28,0.6516,0.61,0.5,-0.2359,-0.219,0.0857,0.0183,0.0291,0.138,-0.62,-0.41,0.027,0,0,0.5872,0.044366667,3.7292,-,0,6.318119891,0,12.23516153,313.26%,-17.1777884,0.994851443,17286068456,0,1,1,1,1,1,1,1
000409.SZ,山东地矿,4.58,山东,综合,1996-06-27,0.0606,-0.4401,-0.4095,0.206,-0.0662,0.27,0.27,0.0327,-0.033,-0.0807,0.0161,-0.153,0,0,-0.263,0.1909,1.929,-,0,10000,0,-2.377684652,0.00%,0,2.374287195,2360501950,0,0,0,1,0,1,0,0
